word,meaning,description
Antsy,"좀이 쑤시는, 안달 난","Antsy... Antsy... 이 표현은 형용사로 '좀이 쑤시는' 또는 '안절부절못하는'이라는 뜻입니다. '개미(ant)'에서 왔는데, 바지 안에 개미가 들어간 것처럼 가만히 있지 못하는 모습을 상상해 보세요! 영화에서는 ""Don't you ever get antsy? Itchy feet?"" 이 문장은 ""넌 뭐 좀이 쑤시거나 어디론가 떠나고 싶지 않아?""라는 뜻입니다. Antsy, 좀이 쑤시는."
Itchy feet,떠나고 싶어 안달 난,"Itchy feet... Itchy feet... 이 표현은 숙어로 '어딘가로 떠나고 싶어 안달이 난 상태'를 뜻합니다. 발이 '간지럽다(itchy)'는 건 당장이라도 길을 떠나고 싶어서 근질근질하다는 재미있는 표현이죠. 영화에서는 ""Don't you ever get antsy? Itchy feet?"" 이 문장은 ""넌 뭐 좀이 쑤시거나 어디론가 떠나고 싶지 않아?""라는 뜻입니다. Itchy feet, 떠나고 싶어 안달 난."
Scrape together,간신히 긁어모으다,"Scrape together... Scrape together... 이 표현은 구동사로 돈 등을 '간신히 긁어모으다'라는 뜻입니다. 바닥을 '긁어(scrape)'서 '함께(together)' 모으는 힘겨운 과정을 묘사해요. 영화에서는 ""I figure we can scrape together $8,000."" 이 문장은 ""우리가 8천 달러 정도는 긁어모을 수 있을 거야.""라는 뜻입니다. Scrape together, 긁어모으다."
Mortgage,"담보 대출, 융자","Mortgage... Mortgage... 이 표현은 명사로 '주택 담보 대출'을 뜻합니다. 프랑스어로 '죽음'을 뜻하는 'mort'와 '약속'을 뜻하는 'gage'가 합쳐졌어요. 빚을 다 갚거나 집을 뺏길 때까지 끝까지 가는 '죽음의 약속'이라는 무시무시한 유래가 있죠! 영화에서는 ""We have mortgage payments, Truman."" 이 문장은 ""우리 융자금도 갚아야 하잖아요, 트루먼.""이라는 뜻입니다. Mortgage, 담보 대출."
Obligation,"의무, 책임","Obligation... Obligation... 이 표현은 명사로 '의무' 또는 '책임'이라는 뜻입니다. '~쪽으로'를 뜻하는 'ob-'와 '묶다'라는 뜻의 'lig(bind)'가 합쳐졌어요. 어떤 약속에 몸이 묶여 있는 상태를 말하죠. 영화에서는 ""Walk away from our financial obligations?"" 이 문장은 ""빚(재정적 의무)잔치라도 하고 도망치자는 거야?""라는 뜻입니다. Obligation, 의무."
Rebound,"홧김에 하는 연애, 회복","Rebound... Rebound... 이 표현은 명사로 '공이 튀어 오름' 혹은 '연인과 헤어진 뒤 홧김에 시작한 연애'를 뜻합니다. '다시'라는 're-'와 '튀다'라는 'bound'가 만났어요. 튕겨 나간 마음이 다른 곳으로 가버린 거죠. 영화에서는 ""He married Meryl on the rebound."" 이 문장은 ""홧김에 메릴이랑 결혼했다니...""라는 뜻입니다. Rebound, 홧김에 하는 연애."
Synchronized,동시에 일어나는,"Synchronized... Synchronized... 이 표현은 형용사로 '동시에 일어나는' 또는 '정교하게 일치하는'이라는 뜻입니다. '함께'를 뜻하는 'syn-'과 '시간'을 뜻하는 'chron-'이 합쳐졌어요. 시간이 딱딱 맞다는 뜻이죠! 영화에서는 ""Beautifully synchronized, don't you agree?"" 이 문장은 ""기가 막히게 타이밍이 딱딱 맞지 않아?""라는 뜻입니다. Synchronized, 동시에 일어나는."
Spontaneous,"즉흥적인, 자발적인","Spontaneous... Spontaneous... 이 표현은 형용사로 '즉흥적인' 또는 '자발적인'이라는 뜻입니다. '자유의지'를 뜻하는 라틴어 'sponte'에서 유래했어요. 시키지 않아도 마음이 가는 대로 바로 행동하는 것이죠. 영화에서는 ""I guess I'm being spontaneous."" 이 문장은 ""난 지금 즉흥적으로 행동하는 거야.""라는 뜻입니다. Spontaneous, 즉흥적인."
Exaggerate,과장하다,"Exaggerate... Exaggerate... 이 표현은 동사로 '과장하다'라는 뜻입니다. '밖으로'를 뜻하는 'ex-'와 '쌓다'라는 뜻의 'ger'가 합쳐져, 실제보다 더 크게 쌓아 올린다는 뜻이 되었어요. 영화에서는 ""I'm sure they're exaggerating."" 이 문장은 ""과장한 걸 거야.""라는 뜻입니다. Exaggerate, 과장하다."
Unprofessional,"비전문적인, 프로답지 못한","Unprofessional... Unprofessional... 이 표현은 형용사로 '프로답지 못한'이라는 뜻입니다. '반대'를 뜻하는 'un-'에 '전문적인'이라는 'professional'이 붙었어요. 직업 윤리에 어긋난다는 뜻이죠. 영화에서는 ""It's unprofessional."" 이 문장은 ""이건 프로답지 못하다고요.""라는 뜻입니다. Unprofessional, 프로답지 못한."
Revolve,"돌다, 회전하다","Revolve... Revolve... 이 표현은 동사로 '돌다' 또는 '회전하다'라는 뜻입니다. '다시'를 뜻하는 're-'와 '구르다'라는 라틴어 'volvere'가 합쳐졌어요. 어떤 것을 중심으로 계속 둥글게 도는 모습을 상상해 보세요! 영화에서는 'It feels like the whole world revolves around me somehow.' 이 문장은 '왠지 온 세상이 나를 중심으로 돌아가는 것 같아.'라는 뜻입니다. Revolve, 돌다."
Identical,"동일한, 똑같은","Identical... Identical... 이 표현은 형용사로 '동일한' 또는 '똑같은'이라는 뜻입니다. '같은'을 의미하는 라틴어 'idem'에서 유래했어요. 쌍둥이를 'identical twins'라고 부르는 것도 바로 이 단어 때문이죠! 영화에서는 'Jesus, they were identical.' 이 문장은 '세상에, 답이 똑같았지.'라는 뜻입니다. Identical, 동일한."
Conceiver,"고안자, 기획자","Conceiver... Conceiver... 이 표현은 명사로 '고안자' 또는 '기획자'라는 뜻입니다. '함께'라는 뜻의 'con-'과 '잡다'라는 뜻의 'ceive(capere)'가 만난 'conceive(마음속에 품다, 고안하다)'에 사람을 뜻하는 접미사 '-er'이 붙었어요. 머릿속에 아이디어를 품고 만들어낸 사람이죠. 영화에서는 'A rare and exclusive interview with the show's conceiver and creator.' 이 문장은 '오늘은 이 쇼를 기획하고 만든 창시자와의 독점 인터뷰를 준비했습니다.'라는 뜻입니다. Conceiver, 고안자."
Catalyst,"기폭제, 촉매","Catalyst... Catalyst... 이 표현은 명사로 '기폭제' 또는 '촉매'라는 뜻입니다. '아래로'를 뜻하는 그리스어 'cata-'와 '풀다'라는 뜻의 'lyein'이 합쳐졌어요. 화학 반응을 돕듯이, 어떤 사건을 촉발시키는 결정적인 계기를 말하죠. 영화에서는 'The catalyst for the recent dramatic events on the show has been Truman's father...' 이 문장은 '최근 쇼에서 일어난 극적인 사건들의 계기는 트루먼의 아버지였죠...'라는 뜻입니다. Catalyst, 기폭제."
Masterstroke,"신의 한 수, 묘수","Masterstroke... Masterstroke... 이 표현은 명사로 '신의 한 수' 또는 '절묘한 솜씨'라는 뜻입니다. '거장, 달인'을 뜻하는 'master'와 '(붓이나 검의) 한 번의 휘두름'을 뜻하는 'stroke'가 합쳐졌어요. 장인의 기가 막힌 한 번의 터치라는 뜻이죠! 영화에서는 'Got to say, writing Kirk back in, masterstroke.' 이 문장은 '커크를 다시 등장시킨 건 정말 신의 한 수였습니다.'라는 뜻입니다. Masterstroke, 신의 한 수."
Amnesia,기억 상실증,"Amnesia... Amnesia... 이 표현은 명사로 '기억 상실증'이라는 뜻입니다. '부정(not)'을 뜻하는 그리스어 'a-'와 '기억'을 뜻하는 'mnesia'가 결합했어요. 말 그대로 기억이 없는 상태를 가리키는 의학 용어랍니다. 영화에서는 'Amnesia. Brilliant.' 이 문장은 '기억 상실증이죠. 기발하군요.'라는 뜻입니다. Amnesia, 기억 상실증."
Vicinity,"부근, 인근","Vicinity... Vicinity... 이 표현은 명사로 '부근' 또는 '인근'이라는 뜻입니다. '이웃'을 뜻하는 라틴어 'vicinus'에서 유래했어요. 마을에 사는 이웃들처럼 아주 가까운 거리나 범위를 나타냅니다. 영화에서는 'Somewhere in the vicinity of 5,000.' 이 문장은 '5,000대 정도 됩니다(그 근방입니다).'라는 뜻입니다. Vicinity, 부근."
Premature,"정상보다 이른, 조산의","Premature... Premature... 이 표현은 형용사로 '정상보다 이른' 또는 '조산의'라는 뜻입니다. '미리, 전에'를 뜻하는 'pre-'와 '성숙한'을 뜻하는 'mature'가 합쳐졌어요. 다 성숙하기도 전에 너무 일찍 나왔다는 의미죠. 영화에서는 'Premature by two weeks.' 이 문장은 '2주나 일찍 태어났죠.'라는 뜻입니다. Premature, 정상보다 이른."
Adopt,"입양하다, 채택하다","Adopt... Adopt... 이 표현은 동사로 '입양하다' 또는 '채택하다'라는 뜻입니다. '~쪽으로'를 뜻하는 'ad-'와 '선택하다'라는 뜻의 라틴어 'optare'가 만났어요. 내 쪽으로 끌어들여 선택한다는 뜻에서 아이를 입양하거나 의견을 받아들일 때 씁니다. 영화에서는 'I believe Truman is the first child to have been legally adopted by a corporation.' 이 문장은 '참고로 트루먼은 법적으로 기업에 입양된 최초의 아이입니다.'라는 뜻입니다. Adopt, 입양하다."
Equivalent,"맞먹는, 동등한","Equivalent... Equivalent... 이 표현은 형용사로 '맞먹는' 또는 '동등한'이라는 뜻입니다. '같은'을 뜻하는 'equi-'와 '가치 있는'을 뜻하는 'valent'가 합쳐졌어요. 가치나 양이 똑같다는 뜻을 가진 아주 고급스러운 단어랍니다. 영화에서는 'The show has generated enormous revenues, now equivalent to the gross national product of a small country.' 이 문장은 '이 쇼는 막대한 수익을 창출하고 있습니다. 작은 나라의 국민총생산과 맞먹는 수준이죠.'라는 뜻입니다. Equivalent, 맞먹는."
Staggering,"어마어마한, 충격적인","Staggering... Staggering... 이 표현은 형용사로 '어마어마한' 또는 '충격적인'이라는 뜻입니다. '비틀거리다'라는 뜻의 동사 'stagger'에서 왔어요. 숫자가 너무 크거나 믿기 힘들어서 듣는 순간 비틀거릴 정도라는 비유적인 표현입니다! 영화에서는 'All those staggering revenues are generated by product placement.' 이 문장은 '그 막대한 수익은 모두 간접 광고(PPL)로 충당합니다.'라는 뜻입니다. Staggering, 어마어마한."
Manipulator,"조종자, 속이는 사람","Manipulator... Manipulator... 이 표현은 명사로 '조종자' 또는 '속이는 사람'이라는 뜻입니다. '손'을 뜻하는 'mani(manus)'와 '채우다'라는 'ple'가 합쳐진 'manipulate(손으로 교묘하게 다루다)'에 사람을 뜻하는 접미사 '-or'가 붙었어요. 사람을 자기 손안에 두고 마음대로 주무르는 악당 같은 뉘앙스죠. 영화에서는 'You're a liar and a manipulator.' 이 문장은 '당신은 거짓말쟁이에 조종자야.'라는 뜻입니다. Manipulator, 조종자."
Melodramatically,"감상적으로, 연극조로","Melodramatically... Melodramatically... 이 표현은 부사로 '감상적으로' 또는 '과장되게'라는 뜻입니다. 노래를 뜻하는 'melo'와 연극을 뜻하는 'drama'가 합쳐진 'melodrama'에 부사형 접미사 '-tically'가 붙었어요. 막장 드라마 주인공처럼 지나치게 감정을 잡고 오버한다는 뜻이 담겨 있죠. 영화에서는 'Sylvia, as you announced so melodramatically to the world...' 이 문장은 '실비아, 전 세계에 그렇게 요란하게 떠들어댔지만...'이라는 뜻입니다. Melodramatically, 감상적으로."
Mockery,"조롱, 웃음거리","Mockery... Mockery... 이 표현은 명사로 '조롱' 또는 '웃음거리'라는 뜻입니다. '흉내 내며 놀리다'라는 뜻의 동사 'mock'에 명사를 만드는 접미사 '-ery'가 붙었어요. 진지하고 소중한 것을 우스꽝스러운 쇼로 전락시킬 때 쓰는 강렬한 단어입니다. 영화에서는 'What right do you have to take a baby and turn his life into some kind of mockery?' 이 문장은 '당신이 무슨 권리로 갓난아기를 데려다가 그 인생을 조롱거리로 만드는 거야?'라는 뜻입니다. Mockery, 조롱."
Conception,"잉태, 구상","Conception... Conception... 이 표현은 명사로 '잉태' 또는 '개념, 구상'이라는 뜻입니다. '함께'를 뜻하는 'con-'과 '잡다'를 뜻하는 'cept'가 만났어요. 생명이 뱃속에 처음 자리 잡는 '임신'이나 머릿속에 새로운 아이디어가 잡히는 '구상'을 모두 뜻하는 매력적인 단어입니다. 영화에서는 'I'm determined that television's first on-air conception will still take place.' 이 문장은 '방송 사상 최초의 생중계 잉태는 반드시 이루어질 겁니다.'라는 뜻입니다. Conception, 잉태."
Variable,"변수, 변할 수 있는","Variable... Variable... 이 표현은 명사로 '변수', 형용사로 '변할 수 있는'이라는 뜻입니다. '변하다'라는 동사 'vary'에 '~할 수 있는'이라는 접미사 '-able'이 결합했어요. 언제 어떻게 바뀔지 모르는 불확실한 요소를 수학이나 일상생활에서 모두 지칭하죠! 영화에서는 'See, this isn't about insurance. This is about the great variable: when will death occur?' 이 문장은 '이건 단순한 보험이 아닙니다. 언제 죽을지 모른다는 변수에 대한 거죠.'라는 뜻입니다. Variable, 변수."
Fragile,"깨지기 쉬운, 덧없는","Fragile... Fragile... 이 표현은 형용사로 '깨지기 쉬운' 또는 '덧없는'이라는 뜻입니다. '부수다, 깨다'라는 뜻의 라틴어 어근 'frag-'에서 유래했어요. 유리병처럼 약하고 쉽게 부서지는 인생의 연약함을 나타내기에 딱 어울리는 단어입니다. 영화에서는 'I guess what I'm saying is that life is fragile.' 이 문장은 '그러니까 제 말은 인생은 덧없다는 거죠.'라는 뜻입니다. Fragile, 깨지기 쉬운."
Reroute,경로를 변경하다,"Reroute... Reroute... 이 표현은 동사로 '경로를 변경하다'라는 뜻입니다. '다시'를 뜻하는 접두사 're-'와 '길, 노선'을 뜻하는 명사 'route'가 더해졌어요. 가던 길을 끊고 다른 길이나 화면으로 다시 연결하라는 직관적인 단어랍니다. 영화에서는 'I don't know what's going on. Reroute it back to me.' 이 문장은 '무슨 상황인지 모르겠네. 화면 이쪽으로 돌려.'라는 뜻입니다. Reroute, 경로를 변경하다."
Capsize,"전복시키다, 뒤집히다","Capsize... Capsize... 이 표현은 동사로 '전복시키다' 또는 '뒤집히다'라는 뜻입니다. 어원이 명확하진 않지만, '머리'를 뜻하는 'cap(caput)'이 아래로 곤두박질치는 모습을 묘사한 것으로 추정돼요. 배가 완전히 거꾸로 뒤집히는 긴박한 상황에서 주로 씁니다. 영화에서는 'Very close. Capsize him. Tip him over.' 이 문장은 '거의 다 왔어요. 뒤집어 버려. 전복시켜.'라는 뜻입니다. Capsize, 전복시키다."
Cease,"중단하다, 멈추다","Cease... Cease... 이 표현은 동사로 '중단하다' 또는 '멈추다'라는 뜻입니다. '물러나다, 양보하다'라는 뜻의 라틴어 'cedere'에서 왔어요. 진행되던 것을 완전히 끝내고 멈출 때 쓰는 격식 있는 단어입니다. 'Stop'보다 훨씬 묵직하고 공식적인 느낌을 주죠! 영화에서는 'Cease transmission. Ceasing transmission.' 이 문장은 '방송 종료해. 송출 중단합니다.'라는 뜻입니다. Cease, 중단하다."
Alternative,"대체의, 대안의","Alternative... Alternative... 이 표현은 형용사로 '대체의' 또는 명사로 '대안'이라는 뜻입니다. '다른(other)'을 뜻하는 라틴어 'alter'에서 유래했어요. A가 안 되면 B를 선택할 때 쓰는 아주 실용적인 단어랍니다. 영화에서는 ""If I die before I reach the summit, you'll use me as an alternative source of food."" 이 문장은 ""내가 정상에 오르기 전에 죽으면, 나를 대체 식량으로 써줘요.""라는 뜻입니다. Alternative, 대체의."
Doppelganger,"도플갱어, 똑같이 생긴 사람","Doppelganger... Doppelganger... 이 표현은 명사로 '도플갱어' 또는 '자신과 똑같이 생긴 사람'이라는 뜻입니다. 독일어로 '두 배, 이중'을 뜻하는 'doppel'과 '걷는 사람'을 뜻하는 'gänger'가 그대로 영어로 넘어온 재미있는 단어예요. 영화에서는 ""Doppelganger special."" 이 문장은 ""도플갱어 특별 할인이라고.""라는 뜻입니다. Doppelganger, 도플갱어."
Coma,혼수상태,"Coma... Coma... 이 표현은 명사로 '혼수상태'라는 뜻입니다. 그리스어로 '깊은 잠'을 뜻하는 'koma'에서 유래했어요. 의학 드라마나 뉴스에서 정말 자주 나오는 필수 어휘죠! 영화에서는 ""If he's in a coma, he's probably uninsurable."" 이 문장은 ""혼수상태라면 보험 가입이 어려울 수 있습니다.""라는 뜻입니다. Coma, 혼수상태."
Klutz,"칠칠맞은 사람, 얼간이","Klutz... Klutz... 이 표현은 명사로 '칠칠맞은 사람' 또는 '얼간이'라는 뜻입니다. 유대인들이 쓰는 이디시어에서 '나무토막(klots)'을 부르던 말인데, 행동이 뻣뻣하고 자꾸 물건을 떨어뜨리는 사람을 귀엽게(?) 놀릴 때 씁니다. 영화에서는 ""It's okay. I've just been such a klutz all day."" 이 문장은 ""괜찮아요. 제가 오늘 하루 종일 칠칠맞지 못했네요.""라는 뜻입니다. Klutz, 칠칠맞은 사람."
Sprain,"삐다, 접질리다","Sprain... Sprain... 이 표현은 동사로 '(발목이나 손목을) 삐다'라는 뜻입니다. '밖으로 짜내다'라는 뜻의 라틴어 'exprimere'에서 유래했는데, 관절이 원래 위치에서 벗어나 꽉 눌리는 고통을 상상하시면 외우기 쉽습니다. 영화에서는 ""Sprained this ankle. Oh, my goodness."" 이 문장은 ""발목을 삐었나 봐요. 세상에.""라는 뜻입니다. Sprain, 삐다."
Schizophrenia,"조현병, 정신분열증","Schizophrenia... Schizophrenia... 이 표현은 명사로 '조현병'이라는 뜻입니다. '갈라지다'를 뜻하는 그리스어 'schizo-'와 '마음, 정신'을 뜻하는 'phren'이 합쳐진 전문 의학 용어예요. 영화에서는 ""Schizophrenia. She has episodes. We've tried everything."" 이 문장은 ""조현병이야. 가끔 발작을 하지. 우린 안 해본 게 없어.""라는 뜻입니다. Schizophrenia, 조현병."
Hypnotism,최면술,"Hypnotism... Hypnotism... 이 표현은 명사로 '최면술'이라는 뜻입니다. 그리스 신화에 나오는 잠의 신 '히프노스(Hypnos)'의 이름에서 유래했어요. 잠에 빠진 것처럼 사람의 의식을 조종하는 기술이죠. 영화에서는 ""Hypnotism, shock therapy. Don't worry. Truman!"" 이 문장은 ""최면술, 충격 요법까지. 걱정 말게. 트루먼!""이라는 뜻입니다. Hypnotism, 최면술."
Trespass,무단침입하다,"Trespass... Trespass... 이 표현은 동사로 '무단침입하다'라는 뜻입니다. '넘어서'를 뜻하는 프랑스어 'tres(trans)'와 '지나가다'를 뜻하는 'passer(pass)'가 합쳐졌어요. 남의 선을 허락 없이 훌쩍 넘어가는 행동이죠. 영화에서는 ""If you don't tell me what's happening, I'll report you! You're trespassing."" 이 문장은 ""무슨 일인지 말 안 하면 신고할 거야! 당신 무단 침입이야.""라는 뜻입니다. Trespass, 무단침입하다."
Predict,"예측하다, 예언하다","Predict... Predict... 이 표현은 동사로 '예측하다' 또는 '예언하다'라는 뜻입니다. '미리(앞서)'를 뜻하는 접두사 'pre-'와 '말하다'를 뜻하는 어근 'dict'가 완벽하게 결합된 단어입니다. 일이 일어나기 전에 미리 말한다는 뜻이죠! 영화에서는 ""I predict that in just a moment, we will see a lady on a red bike..."" 이 문장은 ""이제 곧 빨간 자전거를 탄 여자가 지나가고... 라고 예언하지.""라는 뜻입니다. Predict, 예측하다."
Dent,"움푹 들어가게 하다, 찌그러뜨리다","Dent... Dent... 이 표현은 동사로 '움푹 들어가게 하다', 명사로 '움푹 파인 곳'이라는 뜻입니다. 무언가를 세게 때렸을 때 나는 소리나 타격을 의미하는 'dint'에서 변형된 단어로, 차 사고 났을 때 가장 많이 쓰는 단어예요. 영화에서는 ""...and a Volkswagen Beetle with a dented fender."" 이 문장은 ""...그리고 펜더가 찌그러진 폭스바겐 비틀이 지나갈 거라고 (예언하지).""라는 뜻입니다. Dent, 움푹 들어가게 하다."
Evacuate,"대피시키다, 비우다","Evacuate... Evacuate... 이 표현은 동사로 '대피시키다' 또는 '비우다'라는 뜻입니다. '밖으로'를 뜻하는 'e(ex)-'와 '비어있는'을 뜻하는 'vacua(vacuum과 같은 어원)'가 결합했어요. 위험한 장소에서 사람들을 밖으로 빼내 텅 비게 만드는 것이죠. 영화에서는 ""Whole area's being evacuated."" 이 문장은 ""전 지역 대피 중입니다.""라는 뜻입니다. Evacuate, 대피시키다."
Custody,"유치, 구금, 양육권","Custody... Custody... 이 표현은 명사로 '유치, 구금' 또는 '보호, 양육권'이라는 뜻입니다. '경비병, 지키는 사람'을 뜻하는 라틴어 'custos'에서 유래했어요. 경찰이 범인을 지키고 있으면 '구금'이고, 부모가 아이를 지키면 '양육권'이 되는 마법 같은 단어입니다. 영화에서는 ""...now in custody."" 이 문장은 ""...방금 체포되었습니다(유치장에 갇혔습니다).""라는 뜻입니다. Custody, 유치/구금."
Artificial,"인공적인, 인위적인","Artificial... Artificial... 이 표현은 형용사로 '인공적인' 또는 '인위적인'이라는 뜻입니다. '기술, 기교'를 뜻하는 'arti(art)'와 '만들다'를 뜻하는 'fic'이 합쳐졌어요. 자연 그대로가 아니라 사람의 기술로 만들어냈다는 뜻이죠. AI(Artificial Intelligence)의 그 A가 바로 이겁니다! 영화에서는 ""No artificial sweeteners."" 이 문장은 ""인공 감미료는 전혀 안 들어갔어.""라는 뜻입니다. Artificial, 인공적인."
Breakdown,"쇠약, 고장, 붕괴","Breakdown... Breakdown... 이 표현은 명사로 '쇠약', '고장' 또는 '붕괴'라는 뜻입니다. '부서지다(break)'와 '아래로(down)'가 합쳐져서, 기계가 완전히 주저앉아 고장 나거나 사람의 정신이 무너져 내리는 상태를 생생하게 표현합니다. 영화에서는 ""You're having a nervous breakdown, that's what's happening."" 이 문장은 ""당신 신경쇠약에 걸린 거야, 그게 무슨 일인지 알아?""라는 뜻입니다. Breakdown, 쇠약/고장."
Pneumonia,폐렴,"Pneumonia... Pneumonia... 이 표현은 명사로 '폐렴'이라는 뜻입니다. 그리스어로 '폐, 호흡'을 뜻하는 'pneumon'에 질병을 나타내는 접미사 '-ia'가 붙었어요. 철자 앞에 있는 'P'는 묵음이라 발음하지 않는다는 점, 꼭 기억하세요! (뉴모니아) 영화에서는 ""And I got pneumonia? You remember that?"" 이 문장은 ""그리고 나 폐렴 걸렸었잖아. 기억나?""라는 뜻입니다. Pneumonia, 폐렴."
Intricate,"복잡한, 얽힌","Intricate... Intricate... 이 표현은 형용사로 '복잡한' 또는 '얽힌'이라는 뜻입니다. '안에(in)'와 '수수께끼, 얽힘'을 뜻하는 라틴어 'tricae'가 만났어요. 실타래가 안에서 꽁꽁 얽혀서 풀기 어려운 아주 정교하고 복잡한 상태를 말해요. 영화에서는 ""An entire human life recorded on an intricate network of hidden cameras..."" 이 문장은 ""한 인간의 일생이 정교하게(복잡하게) 숨겨진 카메라 네트워크에 기록되고...""라는 뜻입니다. Intricate, 복잡한."
Exclusive,"독점적인, 배타적인","Exclusive... Exclusive... 이 표현은 형용사로 '독점적인' 또는 '배타적인'이라는 뜻입니다. '밖으로'를 뜻하는 'ex-'와 '닫다'를 뜻하는 'clus(close)'가 합쳐졌어요. 남들은 다 밖으로 내쫓고 문을 닫아버린, 오직 나만을 위한 특별한 것이라는 뜻이죠. 영화에서는 ""A rare and exclusive interview with the show's conceiver..."" 이 문장은 ""오늘은 이 쇼를 기획하고 만든 창시자와의 독점 인터뷰를 준비했습니다.""라는 뜻입니다. Exclusive, 독점적인."
Reminisce,"추억하다, 회상하다","Reminisce... Reminisce... 이 표현은 동사로 '추억하다' 또는 '회상하다'라는 뜻입니다. '다시'를 뜻하는 're-'와 '마음, 기억'을 뜻하는 라틴어 어근 'minis(mind)'가 합쳐졌어요. 지나간 아름다운 기억을 다시 마음속으로 불러오는 낭만적인 단어랍니다. 영화에서는 ""I love to reminisce with former members of the cast."" 이 문장은 ""예전 출연자랑 추억을 나누는 건 즐거운 일이죠.""라는 뜻입니다. Reminisce, 추억하다."
